128,912,291,50,20,100
149,1196,261,50,20,100
168,1607,218,50,20,100
182,1932,192,50,20,100
194,2014,279,50,20,100
210,1946,468,50,20,100
224,1826,540,50,20,100
239,1514,583,50,20,100
253,1035,612,50,20,100
266,835,735,50,20,100
279,772,813,50,20,100
291,812,916,50,20,100
303,952,919,50,20,100
317,1250,918,50,20,100
330,1493,902,50,20,100
344,1652,969,50,20,100
359,1440,1103,50,20,100
370,1236,1130,50,20,100
383,753,1081,50,20,100
396,536,985,50,20,100
408,465,757,50,20,100
421,473,499,50,20,100
434,477,258,50,20,100
448,260,552,50,20,100
462,369,993,50,20,100
474,1336,1053,50,20,100
487,1780,854,50,20,100
499,1938,544,50,20,100
511,1921,319,50,20,100
524,1653,383,50,20,100
535,1441,567,50,20,100
545,1273,740,50,20,100
556,1124,723,50,20,100
